id,cluster
3020180000605-api_xml-2-IMG-2,23
3020140046265-api_xml-0-IMG-0,17
3020230010310-api_xml-1-IMG-1,21
3020140030054-api_xml-1-IMG-1,44
3020100052515-api_xml-1-IMG-1,8
3020240046356-api_xml-1-IMG-1,2
3020170049841-api_xml-2-IMG-2,15
3020170038516-api_xml-2-IMG-2,26
3020240005873-api_xml-0-IMG-0,17
3020150025180-api_xml-0-IMG-0,31
3020190018032-api_xml-1-IMG-1,21
3020210001385-api_xml-1-IMG-1,27
3020240006085-api_xml-2-IMG-2,41
3020130054997-api_xml-2-IMG-2,26
3020120029986-api_xml-1-IMG-1,37
3020220054734-api_xml-2-IMG-2,14
3020190026949-api_xml-2-IMG-2,47
3020160039902-api_xml-2-IMG-2,3
3020120012014-api_xml-2-IMG-2,22
3020120024723-api_xml-0-IMG-0,12
3020210054730-api_xml-0-IMG-0,3
3020140019072-api_xml-1-IMG-1,13
3020250006783-api_xml-1-IMG-1,20
3020210015924-api_xml-0-IMG-0,43
3020230033444-api_xml-0-IMG-0,39
3020170007888-api_xml-0-IMG-0,22
3020110029358-api_xml-2-IMG-2,35
3020160060800-api_xml-1-IMG-1,22
3020250047598-api_xml-0-IMG-0,22
3020180060838-api_xml-1-IMG-1,38
3020160010062-api_xml-1-IMG-1,47
3020210030597-api_xml-0-IMG-0,49
3020210023519-api_xml-2-IMG-2,22
3020190023152-api_xml-1-IMG-1,25
3020140061638-api_xml-1-IMG-1,11
3020140032501-api_xml-1-IMG-1,2
3020240010783-api_xml-0-IMG-0,32
3020180000599-api_xml-0-IMG-0,23
3020130046692-api_xml-0-IMG-0,47
3020110019306-api_xml-2-IMG-2,32
3020220012012-api_xml-1-IMG-1,31
3020160003221-api_xml-2-IMG-2,1
3020210015087-api_xml-0-IMG-0,39
3020230031268-api_xml-1-IMG-1,1
3020160023571-api_xml-2-IMG-2,2
3020190059785-api_xml-1-IMG-1,43
3020130038599-api_xml-0-IMG-0,34
3020200023844-api_xml-2-IMG-2,38
3020100053837-api_xml-1-IMG-1,34
3020140062709-api_xml-2-IMG-2,21
3020120044440-api_xml-1-IMG-1,49
3020200015651-api_xml-2-IMG-2,43
3020250012551-api_xml-1-IMG-1,3
3020230016130-api_xml-1-IMG-1,20
3020210060868-api_xml-1-IMG-1,11
3020240019886-api_xml-1-IMG-1,2
3020110051593-api_xml-0-IMG-0,49
3020230013768-api_xml-0-IMG-0,36
3020220019255-api_xml-0-IMG-0,27
3020200049442-api_xml-2-IMG-2,1
3020230043334-api_xml-1-IMG-1,3
3020170023516-api_xml-1-IMG-1,0
3020220055455-api_xml-0-IMG-0,13
3020240023595-api_xml-2-IMG-2,2
3020210012880-api_xml-1-IMG-1,25
3020230019537-api_xml-2-IMG-2,20
3020220007071-api_xml-2-IMG-2,45
3020150058177-api_xml-2-IMG-2,31
3020150052996-api_xml-0-IMG-0,5
3020170030997-api_xml-2-IMG-2,13
3020200008789-api_xml-2-IMG-2,2
3020150014934-api_xml-0-IMG-0,49
3020230032966-api_xml-0-IMG-0,18
3020200009094-api_xml-0-IMG-0,43
3020240022982-api_xml-0-IMG-0,49
3020200003782-api_xml-0-IMG-0,3
3020230026361-api_xml-0-IMG-0,3
3020200004429-api_xml-0-IMG-0,3
3020190028583-api_xml-2-IMG-2,21
3020230028383-api_xml-2-IMG-2,28
3020220024874-api_xml-0-IMG-0,37
3020170017666-api_xml-2-IMG-2,20
3020210027637-api_xml-1-IMG-1,25
3020250024659-api_xml-1-IMG-1,5
3020180019497-api_xml-0-IMG-0,12
3020220019442-api_xml-0-IMG-0,1
3020100050921-api_xml-1-IMG-1,18
3020140040636-api_xml-1-IMG-1,45
3020150013724-api_xml-1-IMG-1,43
3020180058059-api_xml-1-IMG-1,30
3020240040000-api_xml-1-IMG-1,21
3020180004890-api_xml-0-IMG-0,28
3020220040524-api_xml-2-IMG-2,22
3020230034393-api_xml-0-IMG-0,1
3020210023931-api_xml-0-IMG-0,38
3020160042364-api_xml-1-IMG-1,1
3020250009576-api_xml-1-IMG-1,33
3020250047623-api_xml-1-IMG-1,19
3020160039941-api_xml-0-IMG-0,27
3020160025776-api_xml-1-IMG-1,14
3020210006582-api_xml-0-IMG-0,3
3020240001911-api_xml-0-IMG-0,31
3020250002519-api_xml-2-IMG-2,10
3020170027159-api_xml-2-IMG-2,46
3020140039081-api_xml-1-IMG-1,18
3020160024473-api_xml-2-IMG-2,26
3020120034222-api_xml-1-IMG-1,12
3020190057690-api_xml-1-IMG-1,11
3020130040224-api_xml-2-IMG-2,47
3020200042127-api_xml-1-IMG-1,35
3020110025405-api_xml-2-IMG-2,18
3020190041046-api_xml-2-IMG-2,27
3020170025867-api_xml-2-IMG-2,0
3020220016982-api_xml-2-IMG-2,20
3020170057231-api_xml-2-IMG-2,1
3020250000351-api_xml-2-IMG-2,26
3020130046813-api_xml-2-IMG-2,22
3020210036309-api_xml-0-IMG-0,48
3020170023485-api_xml-2-IMG-2,22
3020190021689-api_xml-2-IMG-2,47
3020250027490-api_xml-1-IMG-1,43
3020200005029-api_xml-2-IMG-2,9
3020150010174-api_xml-2-IMG-2,10
3020220008330-api_xml-2-IMG-2,9
